AGE5P - Age in Five Year Groups,SEXP Sex,INDP - 1 Digit Level,OCCP - 1 Digit Level,GNGP Public/Private Sector,Persons
,,,,State/Territory Government,572
,,,,Local Government,55
,,,,Private sector,1062
,,,Professionals,National Government,0
,,,,State/Territory Government,654
,,,,Local Government,79
,,,,Private sector,655
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,864
,,,,Local Government,170
,,,,Private sector,1668
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,17
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,404
,,,,Local Government,58
,,,,Private sector,480
,,,Sales Workers,National Government,0
,,,,State/Territory Government,17
,,,,Local Government,3
,,,,Private sector,144
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,370
,,,,Local Government,101
,,,,Private sector,1799
,,,Labourers,National Government,0
,,,,State/Territory Government,227
,,,,Local Government,54
,,,,Private sector,609
,,Construction,Managers,National Government,0
,,,,State/Territory Government,21
,,,,Local Government,12
,,,,Private sector,10398
,,,Professionals,National Government,0
,,,,State/Territory Government,14
,,,,Local Government,9
,,,,Private sector,1858
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,23
,,,,Local Government,41
,,,,Private sector,28772
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,124
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,12
,,,,Local Government,7
,,,,Private sector,1451
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,886
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,34
,,,,Private sector,7153
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,33
,,,,Private sector,9886
,,Wholesale Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,5641
,,,Professionals,National Government,9
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2320
,,,Technicians and Trades Workers,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1860
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,34
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1518
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3392
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3917
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1035
,,Retail Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,8326
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1557
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3326
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,139
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1173
,,,Sales Workers,National Government,5
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,9632
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2580
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2231
,,Accommodation and Food Services,Managers,National Government,9
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,5265
,,,Professionals,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,272
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,3817
,,,Community and Personal Service Workers,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1542
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,318
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,523
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,523
,,,Labourers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,2487
,,"Transport, Postal and Warehousing",Managers,National Government,274
,,,,State/Territory Government,348
,,,,Local Government,8
,,,,Private sector,4402
,,,Professionals,National Government,261
,,,,State/Territory Government,344
,,,,Local Government,4
,,,,Private sector,2052
,,,Technicians and Trades Workers,National Government,131
,,,,State/Territory Government,293
,,,,Local Government,12
,,,,Private sector,2060
,,,Community and Personal Service Workers,National Government,49
,,,,State/Territory Government,49
,,,,Local Government,0
,,,,Private sector,565
,,,Clerical and Administrative Workers,National Government,1964
,,,,State/Territory Government,314
,,,,Local Government,8
,,,,Private sector,4724
,,,Sales Workers,National Government,115
,,,,State/Territory Government,112
,,,,Local Government,0
,,,,Private sector,625
,,,Machinery Operators and Drivers,National Government,401
,,,,State/Territory Government,1084
,,,,Local Government,134
,,,,Private sector,23301
,,,Labourers,National Government,22
,,,,State/Territory Government,398
,,,,Local Government,0
,,,,Private sector,1740
,,Information Media and Telecommunications,Managers,National Government,108
,,,,State/Territory Government,26
,,,,Local Government,3
,,,,Private sector,1543
,,,Professionals,National Government,239
,,,,State/Territory Government,36
,,,,Local Government,6
,,,,Private sector,2537
,,,Technicians and Trades Workers,National Government,96
,,,,State/Territory Government,13
,,,,Local Government,6
,,,,Private sector,2242
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,31
,,,Clerical and Administrative Workers,National Government,43
,,,,State/Territory Government,25
,,,,Local Government,0
,,,,Private sector,568
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,242
,,,Machinery Operators and Drivers,National Government,5
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,159
,,,Labourers,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,133
,,Financial and Insurance Services,Managers,National Government,28
,,,,State/Territory Government,115
,,,,Local Government,0
,,,,Private sector,2831
,,,Professionals,National Government,36
,,,,State/Territory Government,131
,,,,Local Government,0
,,,,Private sector,5892
,,,Technicians and Trades Workers,National Government,8
,,,,State/Territory Government,79
,,,,Local Government,0
,,,,Private sector,283
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,49
,,,Clerical and Administrative Workers,National Government,24
,,,,State/Territory Government,112
,,,,Local Government,0
,,,,Private sector,2804
,,,Sales Workers,National Government,3
,,,,State/Territory Government,43
,,,,Local Government,0
,,,,Private sector,471
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,107
,,,,Local Government,0
,,,,Private sector,119
,,,Labourers,National Government,0
,,,,State/Territory Government,118
,,,,Local Government,0
,,,,Private sector,55
,,"Rental, Hiring and Real Estate Services",Managers,National Government,10
,,,,State/Territory Government,26
,,,,Local Government,5
,,,,Private sector,1500
,,,Professionals,National Government,0
,,,,State/Territory Government,20
,,,,Local Government,4
,,,,Private sector,798
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,12
,,,,Local Government,0
,,,,Private sector,505
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,14
,,,,Local Government,0
,,,,Private sector,63
,,,Clerical and Administrative Workers,National Government,4
,,,,State/Territory Government,39
,,,,Local Government,4
,,,,Private sector,351
,,,Sales Workers,National Government,3
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,3704
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,462
,,,Labourers,National Government,3
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,475
,,"Professional, Scientific and Technical Services",Managers,National Government,152
,,,,State/Territory Government,51
,,,,Local Government,9
,,,,Private sector,5666
,,,Professionals,National Government,418
,,,,State/Territory Government,147
,,,,Local Government,7
,,,,Private sector,18863
,,,Technicians and Trades Workers,National Government,108
,,,,State/Territory Government,22
,,,,Local Government,0
,,,,Private sector,3851
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,88
,,,Clerical and Administrative Workers,National Government,361
,,,,State/Territory Government,26
,,,,Local Government,0
,,,,Private sector,1674
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,502
,,,Machinery Operators and Drivers,National Government,5
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,338
,,,Labourers,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,519
,,Administrative and Support Services,Managers,National Government,14
,,,,State/Territory Government,22
,,,,Local Government,4
,,,,Private sector,1844
,,,Professionals,National Government,8
,,,,State/Territory Government,16
,,,,Local Government,0
,,,,Private sector,1131
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,2672
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,24
,,,,Local Government,0
,,,,Private sector,677
,,,Clerical and Administrative Workers,National Government,5
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,790
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,234
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,8
,,,,Local Government,0
,,,,Private sector,1089
,,,Labourers,National Government,0
,,,,State/Territory Government,23
,,,,Local Government,8
,,,,Private sector,7485
,,Public Administration and Safety,Managers,National Government,2425
,,,,State/Territory Government,2808
,,,,Local Government,1536
,,,,Private sector,708
,,,Professionals,National Government,2425
,,,,State/Territory Government,3557
,,,,Local Government,1383
,,,,Private sector,573
,,,Technicians and Trades Workers,National Government,538
,,,,State/Territory Government,864
,,,,Local Government,1817
,,,,Private sector,637
,,,Community and Personal Service Workers,National Government,663
,,,,State/Territory Government,5773
,,,,Local Government,306
,,,,Private sector,2307
,,,Clerical and Administrative Workers,National Government,2635
,,,,State/Territory Government,2333
,,,,Local Government,1221
,,,,Private sector,421
,,,Sales Workers,National Government,9
,,,,State/Territory Government,63
,,,,Local Government,30
,,,,Private sector,50
,,,Machinery Operators and Drivers,National Government,123
,,,,State/Territory Government,574
,,,,Local Government,2108
,,,,Private sector,94
,,,Labourers,National Government,66
,,,,State/Territory Government,290
,,,,Local Government,1868
,,,,Private sector,637
,,Education and Training,Managers,National Government,904
,,,,State/Territory Government,1664
,,,,Local Government,0
,,,,Private sector,1875
,,,Professionals,National Government,3877
,,,,State/Territory Government,7473
,,,,Local Government,0
,,,,Private sector,7202
,,,Technicians and Trades Workers,National Government,458
,,,,State/Territory Government,573
,,,,Local Government,0
,,,,Private sector,764
,,,Community and Personal Service Workers,National Government,98
,,,,State/Territory Government,524
,,,,Local Government,0
,,,,Private sector,1529
,,,Clerical and Administrative Workers,National Government,333
,,,,State/Territory Government,379
,,,,Local Government,0
,,,,Private sector,408
,,,Sales Workers,National Government,15
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,45
,,,Machinery Operators and Drivers,National Government,29
,,,,State/Territory Government,90
,,,,Local Government,0
,,,,Private sector,255
,,,Labourers,National Government,75
,,,,State/Territory Government,769
,,,,Local Government,0
,,,,Private sector,758
,,Health Care and Social Assistance,Managers,National Government,6
,,,,State/Territory Government,731
,,,,Local Government,0
,,,,Private sector,2509
,,,Professionals,National Government,32
,,,,State/Territory Government,3461
,,,,Local Government,3
,,,,Private sector,9625
,,,Technicians and Trades Workers,National Government,4
,,,,State/Territory Government,696
,,,,Local Government,0
,,,,Private sector,1423
,,,Community and Personal Service Workers,National Government,16
,,,,State/Territory Government,2270
,,,,Local Government,4
,,,,Private sector,5318
,,,Clerical and Administrative Workers,National Government,16
,,,,State/Territory Government,559
,,,,Local Government,0
,,,,Private sector,1167
,,,Sales Workers,National Government,0
,,,,State/Territory Government,16
,,,,Local Government,0
,,,,Private sector,157
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,235
,,,,Local Government,0
,,,,Private sector,542
,,,Labourers,National Government,0
,,,,State/Territory Government,567
,,,,Local Government,0
,,,,Private sector,1555
,,Arts and Recreation Services,Managers,National Government,20
,,,,State/Territory Government,134
,,,,Local Government,11
,,,,Private sector,1139
,,,Professionals,National Government,20
,,,,State/Territory Government,213
,,,,Local Government,0
,,,,Private sector,1476
,,,Technicians and Trades Workers,National Government,6
,,,,State/Territory Government,58
,,,,Local Government,11
,,,,Private sector,1143
,,,Community and Personal Service Workers,National Government,10
,,,,State/Territory Government,39
,,,,Local Government,0
,,,,Private sector,714
,,,Clerical and Administrative Workers,National Government,3
,,,,State/Territory Government,49
,,,,Local Government,5
,,,,Private sector,263
,,,Sales Workers,National Government,0
,,,,State/Territory Government,10
,,,,Local Government,0
,,,,Private sector,140
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,123
,,,Labourers,National Government,4
,,,,State/Territory Government,58
,,,,Local Government,0
,,,,Private sector,542
,,Other Services,Managers,National Government,7
,,,,State/Territory Government,19
,,,,Local Government,7
,,,,Private sector,2259
,,,Professionals,National Government,11
,,,,State/Territory Government,16
,,,,Local Government,0
,,,,Private sector,2204
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,10330
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,12
,,,,Local Government,3
,,,,Private sector,683
,,,Clerical and Administrative Workers,National Government,4
,,,,State/Territory Government,8
,,,,Local Government,5
,,,,Private sector,746
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,406
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,668
,,,Labourers,National Government,0
,,,,State/Territory Government,18
,,,,Local Government,0
,,,,Private sector,2034
,Female,"Agriculture, Forestry and Fishing",Managers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,5214
,,,Professionals,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,146
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,302
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,57
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,17
,,,,Local Government,0
,,,,Private sector,1215
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,130
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,105
,,,Labourers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,1825
,,Mining,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,164
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,230
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,84
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,27
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,640
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,9
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,324
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,157
,,Manufacturing,Managers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2167
,,,Professionals,National Government,9
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1177
,,,Technicians and Trades Workers,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1348
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,183
,,,Clerical and Administrative Workers,National Government,11
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,5531
,,,Sales Workers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,1555
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1872
,,,Labourers,National Government,8
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,4807
,,"Electricity, Gas, Water and Waste Services",Managers,National Government,0
,,,,State/Territory Government,98
,,,,Local Government,15
,,,,Private sector,144
,,,Professionals,National Government,0
,,,,State/Territory Government,141
,,,,Local Government,24
,,,,Private sector,153
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,24
,,,,Local Government,7
,,,,Private sector,40
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,10
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,446
,,,,Local Government,60
,,,,Private sector,710
,,,Sales Workers,National Government,0
,,,,State/Territory Government,12
,,,,Local Government,0
,,,,Private sector,61
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,8
,,,,Local Government,0
,,,,Private sector,54
,,,Labourers,National Government,0
,,,,State/Territory Government,9
,,,,Local Government,7
,,,,Private sector,90
,,Construction,Managers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,5
,,,,Private sector,972
,,,Professionals,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,494
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,550
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,67
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,17
,,,,Private sector,6866
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,366
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,148
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,4
,,,,Private sector,733
,,Wholesale Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1440
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,788
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,192
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,40
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3820
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1398
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,603
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,687
,,Retail Trade,Managers,National Government,0
,,,,State/Territory Government,7
,,,,Local Government,0
,,,,Private sector,6768
,,,Professionals,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,1216
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1164
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,400
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,4637
,,,Sales Workers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,26283
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,688
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2747
,,Accommodation and Food Services,Managers,National Government,6
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,4730
,,,Professionals,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,199
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1754
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,3953
,,,Clerical and Administrative Workers,National Government,6
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,1920
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1191
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,73
,,,Labourers,National Government,3
,,,,State/Territory Government,3
,,,,Local Government,3
,,,,Private sector,5678
,,"Transport, Postal and Warehousing",Managers,National Government,124
,,,,State/Territory Government,59
,,,,Local Government,0
,,,,Private sector,1103
,,,Professionals,National Government,70
,,,,State/Territory Government,70
,,,,Local Government,0
,,,,Private sector,376
,,,Technicians and Trades Workers,National Government,4
,,,,State/Territory Government,8
,,,,Local Government,0
,,,,Private sector,64
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,26
,,,,Local Government,0
,,,,Private sector,735
,,,Clerical and Administrative Workers,National Government,1028
,,,,State/Territory Government,208
,,,,Local Government,8
,,,,Private sector,4084
,,,Sales Workers,National Government,412
,,,,State/Territory Government,86
,,,,Local Government,0
,,,,Private sector,877
,,,Machinery Operators and Drivers,National Government,41
,,,,State/Territory Government,112
,,,,Local Government,19
,,,,Private sector,1840
,,,Labourers,National Government,9
,,,,State/Territory Government,74
,,,,Local Government,0
,,,,Private sector,544
,,Information Media and Telecommunications,Managers,National Government,38
,,,,State/Territory Government,14
,,,,Local Government,7
,,,,Private sector,527
,,,Professionals,National Government,160
,,,,State/Territory Government,65
,,,,Local Government,36
,,,,Private sector,1164
,,,Technicians and Trades Workers,National Government,21
,,,,State/Territory Government,26
,,,,Local Government,21
,,,,Private sector,269
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,19
,,,Clerical and Administrative Workers,National Government,72
,,,,State/Territory Government,33
,,,,Local Government,16
,,,,Private sector,1170
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,311
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,47
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,123
,,Financial and Insurance Services,Managers,National Government,14
,,,,State/Territory Government,39
,,,,Local Government,0
,,,,Private sector,1511
,,,Professionals,National Government,24
,,,,State/Territory Government,65
,,,,Local Government,0
,,,,Private sector,2351
,,,Technicians and Trades Workers,National Government,5
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,67
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,87
,,,Clerical and Administrative Workers,National Government,39
,,,,State/Territory Government,136
,,,,Local Government,0
,,,,Private sector,8241
,,,Sales Workers,National Government,0
,,,,State/Territory Government,28
,,,,Local Government,0
,,,,Private sector,462
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,31
,,,Labourers,National Government,0
,,,,State/Territory Government,18
,,,,Local Government,0
,,,,Private sector,76
,,"Rental, Hiring and Real Estate Services",Managers,National Government,0
,,,,State/Territory Government,32
,,,,Local Government,0
,,,,Private sector,644
,,,Professionals,National Government,3
,,,,State/Territory Government,28
,,,,Local Government,0
,,,,Private sector,370
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,58
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,23
,,,,Local Government,0
,,,,Private sector,72
,,,Clerical and Administrative Workers,National Government,10
,,,,State/Territory Government,68
,,,,Local Government,5
,,,,Private sector,2477
,,,Sales Workers,National Government,4
,,,,State/Territory Government,27
,,,,Local Government,0
,,,,Private sector,3355
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,31
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,237
,,"Professional, Scientific and Technical Services",Managers,National Government,94
,,,,State/Territory Government,33
,,,,Local Government,0
,,,,Private sector,2088
,,,Professionals,National Government,214
,,,,State/Territory Government,132
,,,,Local Government,4
,,,,Private sector,7396
,,,Technicians and Trades Workers,National Government,30
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,970
,,,Community and Personal Service Workers,National Government,3
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,164
,,,Clerical and Administrative Workers,National Government,616
,,,,State/Territory Government,140
,,,,Local Government,3
,,,,Private sector,10901
,,,Sales Workers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,491
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,67
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,332
,,Administrative and Support Services,Managers,National Government,7
,,,,State/Territory Government,20
,,,,Local Government,3
,,,,Private sector,1072
,,,Professionals,National Government,5
,,,,State/Territory Government,17
,,,,Local Government,0
,,,,Private sector,1412
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,419
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,21
,,,,Local Government,8
,,,,Private sector,1810
,,,Clerical and Administrative Workers,National Government,17
,,,,State/Territory Government,57
,,,,Local Government,3
,,,,Private sector,4335
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,398
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,146
,,,Labourers,National Government,0
,,,,State/Territory Government,117
,,,,Local Government,0
,,,,Private sector,8528
,,Public Administration and Safety,Managers,National Government,1295
,,,,State/Territory Government,1681
,,,,Local Government,663
,,,,Private sector,250
,,,Professionals,National Government,2007
,,,,State/Territory Government,3969
,,,,Local Government,1558
,,,,Private sector,386
,,,Technicians and Trades Workers,National Government,123
,,,,State/Territory Government,203
,,,,Local Government,404
,,,,Private sector,46
,,,Community and Personal Service Workers,National Government,384
,,,,State/Territory Government,1863
,,,,Local Government,1529
,,,,Private sector,609
,,,Clerical and Administrative Workers,National Government,4957
,,,,State/Territory Government,5168
,,,,Local Government,3085
,,,,Private sector,1064
,,,Sales Workers,National Government,36
,,,,State/Territory Government,110
,,,,Local Government,81
,,,,Private sector,40
,,,Machinery Operators and Drivers,National Government,25
,,,,State/Territory Government,49
,,,,Local Government,69
,,,,Private sector,9
,,,Labourers,National Government,63
,,,,State/Territory Government,387
,,,,Local Government,577
,,,,Private sector,205
,,Education and Training,Managers,National Government,850
,,,,State/Territory Government,2938
,,,,Local Government,0
,,,,Private sector,2554
,,,Professionals,National Government,4340
,,,,State/Territory Government,17830
,,,,Local Government,9
,,,,Private sector,17514
,,,Technicians and Trades Workers,National Government,276
